tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G5300290971500,53029971500,G5300290971500,53029971500,0.9992718338,1,1,1,1,1,1,1
G5300290971500,53029971500,G5300610053201,53061053201,0.0005904157,0,0,0,0,0,0,0
G5300290971500,53029971500,G5300610053301,53061053301,0.0001377504,0,0,0,0,0,0,0
G5300290971600,53029971600,G5300290971600,53029971600,1,1,1,1,1,1,1,1
G5300290971700,53029971700,G5300290971700,53029971700,1,1,1,1,1,1,1,1
G5300290971800,53029971800,G5300290971800,53029971800,1,1,1,1,1,1,1,1
G5300290971900,53029971900,G5300290971900,53029971900,1,1,1,1,1,1,1,1
G5300290972000,53029972000,G5300290971900,53029971900,0.0000185975,0,0,0,0,0,0,0
G5300290972000,53029972000,G5300290972000,53029972000,0.9999814025,1,1,1,1,1,1,1
G5300290972100,53029972100,G5300290972100,53029972100,1,1,1,1,1,1,1,1
G5300290992201,53029992201,G5300290992201,53029992201,1,1,1,1,1,1,1,1
G5300310950202,53031950202,G5300090002302,53009002302,0.0002642761,0,0,0,0,0,0,0
G5300310950202,53031950202,G5300310950202,53031950202,0.9995887439,0.9998550339,0.9998450488,0.9998446758,0.9998383015,0.9998118697,0.9998122847,0.999948259
G5300310950202,53031950202,G5300310950301,53031950301,0.00014698,0.0001449661,0.0001549512,0.0001553242,0.0001616985,0.0001881303,0.0001877153,0.000051741
G5300310950202,53031950202,G5300310950702,53031950702,0,0,0,0,0,0,0,0
G5300310950300,53031950300,G5300310950202,53031950202,0.0001211876,0,0,0,0,0.000000006,0,0
G5300310950300,53031950300,G5300310950301,53031950301,0.8100668589,0.5525374105,0.5531006313,0.5604616157,0.5539986329,0.563163476,0.5562726906,0.5413870246
G5300310950300,53031950300,G5300310950302,53031950302,0.1898119535,0.4474625895,0.4468993687,0.4395383843,0.4460013671,0.436836518,0.4437273094,0.4586129754
G5300310950400,53031950400,G5300310950400,53031950400,1,1,1,1,1,1,1,1
G5300310950500,53031950500,G5300090002301,53009002301,0.0000141632,0.000127895,0.0001136705,0.000122856,0.0000991449,0.0000831881,0.0001214162,0
G5300310950500,53031950500,G5300310950501,53031950501,0.8283778431,0.6372638293,0.6375461682,0.6429730614,0.6341120836,0.6303391557,0.6403536057,0.6063268893
G5300310950500,53031950500,G5300310950502,53031950502,0.1716075894,0.362607345,0.3623392114,0.3569030474,0.3657878378,0.3695766978,0.3595239409,0.3936726372
G5300310950500,53031950500,G5300310950602,53031950602,0.0000004043,0.0000009307,0.0000009498,0.0000010353,0.0000009338,0.0000009584,0.0000010372,0.0000004735
G5300310950601,53031950601,G5300310950603,53031950603,0.452483787,0.4910303223,0.4882211093,0.4624759461,0.4975505205,0.5014523369,0.4337031167,0.585579024
G5300310950601,53031950601,G5300310950604,53031950604,0.547516213,0.5089696777,0.5117788907,0.5375240539,0.5024494795,0.4985476631,0.5662968833,0.414420976
G5300310950602,53031950602,G5300310950602,53031950602,1,1,1,1,1,1,1,1
G5300310950702,53031950702,G5300090000600,53009000600,0.0000031695,0,0,0,0,0,0,0
G5300310950702,53031950702,G5300310950202,53031950202,0.0000025811,0,0,0,0,0,0,0
G5300310950702,53031950702,G5300310950702,53031950702,0.999951531,1,1,1,1,1,1,1
G5300310950702,53031950702,G5300450960100,53045960100,0.0000427184,0,0,0,0,0,0,0
G5300310990000,53031990000,G5300310990000,53031990000,1,1,1,1,1,1,1,1
G5300330000100,53033000100,G5300330000101,53033000101,0.2171718679,0.4358113509,0.4156441718,0.4287925697,0.4322949777,0.4345047923,0.1696629213,0.5359042553
G5300330000100,53033000100,G5300330000102,53033000102,0.782638626,0.5641886491,0.5843558282,0.5712074303,0.5677050223,0.5654952077,0.8303370787,0.4640957447
G5300330000100,53033000100,G5300330000800,53033000800,0.0001895061,0,0,0,0,0,0,0
G5300330000200,53033000200,G5300330000201,53033000201,0.5496163438,0.4928066963,0.5115336658,0.4668523677,0.5567304944,0.5559762034,0.4559585492,0.6806883365
G5300330000200,53033000200,G5300330000202,53033000202,0.4503836562,0.5071933037,0.4884663342,0.5331476323,0.4432695056,0.4440237966,0.5440414508,0.3193116635
G5300330000300,53033000300,G5300330000300,53033000300,1,1,1,1,1,1,1,1
G5300330000401,53033000401,G5300330000403,53033000403,0.5275475624,0.4880201765,0.498553719,0.4781341108,0.4980855137,0.4789983845,0.6288770053,0.4424738518
G5300330000401,53033000401,G5300330000404,53033000404,0.4724524376,0.5119798235,0.501446281,0.5218658892,0.5019144863,0.5210016155,0.3711229947,0.5575261482
G5300330000402,53033000402,G5300330000402,53033000402,1,1,1,1,1,1,1,1
G5300330000500,53033000500,G5300330000500,53033000500,0.9999354185,0.999960015,0.999959203,0.999961147,0.9999624816,0.9999624194,0.9999619589,0.9999695299
G5300330000500,53033000500,G5300330001400,53033001400,0.0000645815,0.000039985,0.000040797,0.000038853,0.0000375184,0.0000375806,0.0000380411,0.0000304701
G5300330000600,53033000600,G5300330000201,53033000201,0.0001475112,0,0,0,0,0,0,0
G5300330000600,53033000600,G5300330000601,53033000601,0.3771391441,0.5028848676,0.507379781,0.4988687783,0.5055306428,0.5149802148,0.485380117,0.531420765
G5300330000600,53033000600,G5300330000602,53033000602,0.6227133447,0.4971151324,0.492620219,0.5011312217,0.4944693572,0.4850197852,0.514619883,0.468579235
G5300330000700,53033000700,G5300330000601,53033000601,0.0001853743,0,0,0,0,0,0,0
G5300330000700,53033000700,G5300330000700,53033000700,0.9998146257,1,1,1,1,1,1,1
G5300330000800,53033000800,G5300330000800,53033000800,1,1,1,1,1,1,1,1
G5300330000900,53033000900,G5300330000900,53033000900,0.981283284,0.990094106,0.9915509958,0.9911347518,0.990430622,0.9900662252,0.9914651494,0.984962406
G5300330000900,53033000900,G5300330002200,53033002200,0.018716716,0.009905894,0.0084490042,0.0088652482,0.009569378,0.0099337748,0.0085348506,0.015037594
G5300330001000,53033001000,G5300330001000,53033001000,0.9997202636,1,1,1,1,1,1,1
G5300330001000,53033001000,G5300330001100,53033001100,0.0002797364,0,0,0,0,0,0,0
G5300330001100,53033001100,G5300330001100,53033001100,1,1,1,1,1,1,1,1
G5300330001200,53033001200,G5300330000601,53033000601,0.0023990413,0,0,0,0,0,0,0
G5300330001200,53033001200,G5300330001201,53033001201,0.5497293991,0.5736064059,0.5841121495,0.5195121951,0.6179052077,0.6191252377,0.3159722222,0.7200469851
G5300330001200,53033001200,G5300330001202,53033001202,0.4478715597,0.4263935941,0.4158878505,0.4804878049,0.3820947923,0.3808747623,0.6840277778,0.2799530149
G5300330001300,53033001300,G5300330001300,53033001300,0.9974440474,1,1,1,1,1,1,1
G5300330001300,53033001300,G5300330001800,53033001800,0.0025559526,0,0,0,0,0,0,0
G5300330001400,53033001400,G5300330000500,53033000500,0.0013432867,0.0002100089,0.0002541796,0.0000047681,0.0004636751,0.0004369666,0.0007785092,0.0000005572
G5300330001400,53033001400,G5300330001400,53033001400,0.9986567133,0.9997899911,0.9997458204,0.9999952319,0.9995363249,0.9995630334,0.9992214908,0.9999994428
G5300330001500,53033001500,G5300330001500,53033001500,0.9939486261,1,1,1,1,1,1,1
G5300330001500,53033001500,G5300330003100,53033003100,0.0060513739,0,0,0,0,0,0,0
G5300330001600,53033001600,G5300330001400,53033001400,0.0088955697,0.0009467608,0.0005983887,0.0011798096,0.0007336464,0.0007058417,0.0009529895,0
G5300330001600,53033001600,G5300330001500,53033001500,0.0012258601,0,0,0,0,0,0,0
G5300330001600,53033001600,G5300330001600,53033001600,0.9898785703,0.9990532392,0.9994016113,0.9988201904,0.9992663536,0.9992941583,0.9990470105,1
G5300330001701,53033001701,G5300330001701,53033001701,1,1,1,1,1,1,1,1
G5300330001702,53033001702,G5300330001702,53033001702,1,1,1,1,1,1,1,1
G5300330001800,53033001800,G5300330001800,53033001800,1,1,1,1,1,1,1,1
G5300330001900,53033001900,G5300330001900,53033001900,1,1,1,1,1,1,1,1
G5300330002000,53033002000,G5300330002000,53033002000,1,1,1,1,1,1,1,1
G5300330002100,53033002100,G5300330002100,53033002100,1,1,1,1,1,1,1,1
G5300330002200,53033002200,G5300330000900,53033000900,0.0001567085,0,0,0,0,0,0,0
G5300330002200,53033002200,G5300330002200,53033002200,0.9998432915,1,1,1,1,1,1,1
G5300330002200,53033002200,G5300330022300,53033022300,0,0,0,0,0,0,0,0
G5300330002400,53033002400,G5300330002200,53033002200,0.015837148,0.0074024226,0.0069204152,0.0078328982,0.0064308682,0.0061823802,0.0083732057,0.0024509804
G5300330002400,53033002400,G5300330002400,53033002400,0.984162852,0.9925975774,0.9930795848,0.9921671018,0.9935691318,0.9938176198,0.9916267943,0.9975490196
G5300330002500,53033002500,G5300330002500,53033002500,1,1,1,1,1,1,1,1
G5300330002600,53033002600,G5300330002600,53033002600,1,1,1,1,1,1,1,1
G5300330002700,53033002700,G5300330001900,53033001900,0.0025223847,0,0,0,0,0,0,0
G5300330002700,53033002700,G5300330002700,53033002700,0.9922049611,1,1,1,1,1,1,1
G5300330002700,53033002700,G5300330002800,53033002800,0.0052726542,0,0,0,0,0,0,0
G5300330002800,53033002800,G5300330002800,53033002800,1,1,1,1,1,1,1,1
G5300330002900,53033002900,G5300330002900,53033002900,1,1,1,1,1,1,1,1
G5300330003000,53033003000,G5300330003000,53033003000,1,1,1,1,1,1,1,1
G5300330003100,53033003100,G5300330001500,53033001500,0.000812411,0,0,0,0,0,0,0
G5300330003100,53033003100,G5300330003100,53033003100,0.9985623819,1,1,1,1,1,1,1
G5300330003100,53033003100,G5300330003201,53033003201,0.0006252071,0,0,0,0,0,0,0
G5300330003200,53033003200,G5300330003201,53033003201,0.5462019016,0.4620590915,0.4792962233,0.4430005907,0.513305148,0.5192941176,0.4631873253,0.5706666667
G5300330003200,53033003200,G5300330003202,53033003202,0.4537980984,0.5379409085,0.5207037767,0.5569994093,0.486694852,0.4807058824,0.5368126747,0.4293333333
G5300330003200,53033003200,G5300330005700,53033005700,0,0,0,0,0,0,0,0
G5300330003300,53033003300,G5300330003301,53033003301,0.5162526865,0.5040167095,0.5014175014,0.4886363636,0.5096059915,0.5125815471,0.4755192878,0.5362739408
G5300330003300,53033003300,G5300330003302,53033003302,0.4837473135,0.4959832905,0.4985824986,0.5113636364,0.4903940085,0.4874184529,0.5244807122,0.4637260592
G5300330003400,53033003400,G5300330003400,53033003400,1,1,1,1,1,1,1,1
G5300330003500,53033003500,G5300330003500,53033003500,1,1,1,1,1,1,1,1
G5300330003600,53033003600,G5300330003601,53033003601,0.5634423071,0.5802186178,0.5697583788,0.6175213675,0.547862157,0.5540017852,0.6418511066,0.5042056075
G5300330003600,53033003600,G5300330003602,53033003602,0.4365576929,0.4197813822,0.4302416212,0.3824786325,0.452137843,0.4459982148,0.3581488934,0.4957943925
G5300330003800,53033003800,G5300330003800,53033003800,1,1,1,1,1,1,1,1
G5300330003900,53033003900,G5300330003900,53033003900,1,1,1,1,1,1,1,1
G5300330004000,53033004000,G5300330002200,53033002200,0.00014939,0.0003717472,0.0004730369,0,0.0008130081,0.0007462687,0.0011248594,0
G5300330004000,53033004000,G5300330004000,53033004000,0.9887339175,0.9721189591,0.9654683065,0.9869067103,0.9544715447,0.9544776119,0.9988751406,0.8387096774
G5300330004000,53033004000,G5300330004102,53033004102,0.0111166924,0.0275092937,0.0340586566,0.0130932897,0.0447154472,0.0447761194,0,0.1612903226
G5300330004000,53033004000,G5300330022402,53033022402,0,0,0,0,0,0,0,0
G5300330004100,53033004100,G5300330004101,53033004101,0.4908107767,0.4869688022,0.4652097902,0.5187265918,0.4423963134,0.4289634146,0.5346487007,0.2427083333
G5300330004100,53033004100,G5300330004102,53033004102,0.5088840699,0.5130311978,0.5347902098,0.4812734082,0.5576036866,0.5710365854,0.4653512993,0.7572916667
G5300330004100,53033004100,G5300330004201,53033004201,0.0003051534,0,0,0,0,0,0,0
G5300330004200,53033004200,G5300330004201,53033004201,0.5044927245,0.4788658441,0.4683608213,0.4910025707,0.4816703857,0.4834094368,0.4476950355,0.5686719637
G5300330004200,53033004200,G5300330004202,53033004202,0.4955072755,0.5211341559,0.5316391787,0.5089974293,0.5183296143,0.5165905632,0.5523049645,0.4313280363
G5300330004301,53033004301,G5300330004301,53033004301,1,1,1,1,1,1,1,1
G5300330004302,53033004302,G5300330004302,53033004302,1,1,1,1,1,1,1,1
G5300330004400,53033004400,G5300330004401,53033004401,0.7020043297,0.5468051118,0.5274363857,0.6574585635,0.4635761589,0.457733481,0.7914893617,0.3394199785
G5300330004400,53033004400,G5300330004402,53033004402,0.2979956703,0.4531948882,0.4725636143,0.3425414365,0.5364238411,0.542266519,0.2085106383,0.6605800215
G5300330004500,53033004500,G5300330004500,53033004500,1,1,1,1,1,1,1,1
G5300330004600,53033004600,G5300330004600,53033004600,1,1,1,1,1,1,1,1
G5300330004700,53033004700,G5300330004701,53033004701,0.2893294654,0.2877281496,0.2960473676,0.252553389,0.3281094527,0.3830104322,0.2727969349,0.3546961326
G5300330004700,53033004700,G5300330004702,53033004702,0.1349008829,0.271405253,0.2763642183,0.2701949861,0.2907960199,0.2712369598,0.3816091954,0.247145488
G5300330004700,53033004700,G5300330004703,53033004703,0.5757696516,0.4408665974,0.4275884141,0.4772516249,0.3810945274,0.345752608,0.3455938697,0.3981583794
G5300330004800,53033004800,G5300330004703,53033004703,0.0387636478,0.0002203128,0.0002574665,0,0.0004623209,0.0008798944,0,0.0011173184
G5300330004800,53033004800,G5300330004800,53033004800,0.9612363522,0.9997796872,0.9997425335,1,0.9995376791,0.9991201056,1,0.9988826816
G5300330004900,53033004900,G5300330004901,53033004901,0.4545179437,0.5637726014,0.5608512135,0.5913140312,0.5411798233,0.5376978803,0.5418821096,0.5409126672
G5300330004900,53033004900,G5300330004902,53033004902,0.5454820563,0.4362273986,0.4391487865,0.4086859688,0.4588201767,0.4623021197,0.4581178904,0.4590873328
G5300330005000,53033005000,G5300330005000,53033005000,1,1,1,1,1,1,1,1
G5300330005100,53033005100,G5300330005100,53033005100,1,1,1,1,1,1,1,1
G5300330005200,53033005200,G5300330005201,53033005201,0.722714694,0.5054312047,0.4772084806,0.7074235808,0.4989554318,0.5061728395,0.8485757121,0.3931972789
G5300330005200,53033005200,G5300330005202,53033005202,0.277285306,0.4945687953,0.5227915194,0.2925764192,0.5010445682,0.4938271605,0.1514242879,0.6068027211
G5300330005301,53033005301,G5300330005305,53033005305,0.3918537,0.3030345801,0.3008862207,0.5438596491,0.4812322946,0.4923227703,0.48,0.4812659149
G5300330005301,53033005301,G5300330005306,53033005306,0.3688945069,0.2388143966,0.2389937107,0.3438596491,0.3672096317,0.3616465207,0.44,0.3652237177
G5300330005301,53033005301,G5300330005307,53033005307,0.2392517931,0.4581510233,0.4601200686,0.1122807018,0.1515580737,0.1460307089,0.08,0.1535103674
G5300330005302,53033005302,G5300330004302,53033004302,0.0001188544,0,0,0,0,0,0,0
G5300330005302,53033005302,G5300330005202,53033005202,0.0004379267,0,0,0,0,0,0,0
G5300330005302,53033005302,G5300330005303,53033005303,0.9703159095,0.6898002103,0.6905853315,0.0952380952,0.0867346939,0.0972222222,1,0.0677083333
G5300330005302,53033005302,G5300330005304,53033005304,0.0291273094,0.3101997897,0.3094146685,0.9047619048,0.9132653061,0.9027777778,0,0.9322916667
G5300330005400,53033005400,G5300330004902,53033004902,0.0007897297,0,0,0,0,0,0,0
G5300330005400,53033005400,G5300330005201,53033005201,0.0006817045,0,0,0,0,0,0,0
G5300330005400,53033005400,G5300330005401,53033005401,0.6188854254,0.498585287,0.5067476383,0.4849833148,0.5167938931,0.5239446612,0.5211389129,0.5133470226
G5300330005400,53033005400,G5300330005402,53033005402,0.3796431404,0.501414713,0.4932523617,0.5150166852,0.4832061069,0.4760553388,0.4788610871,0.4866529774
G5300330005600,53033005600,G5300330005600,53033005600,0.996655707,1,1,1,1,1,1,1
G5300330005600,53033005600,G5300330005700,53033005700,0.0021124801,0,0,0,0,0,0,0
G5300330005600,53033005600,G5300330005803,53033005803,0.0008097785,0,0,0,0,0,0,0
G5300330005600,53033005600,G5300330005804,53033005804,0.0004220344,0,0,0,0,0,0,0
G5300330005700,53033005700,G5300330005700,53033005700,0.9940233782,0.9826695551,0.9843489149,0.9809160305,0.9863115057,0.9865656218,0.9821814255,0.9952996475
G5300330005700,53033005700,G5300330005803,53033005803,0.0059766218,0.0173304449,0.0156510851,0.0190839695,0.0136884943,0.0134343782,0.0178185745,0.0047003525
G5300330005801,53033005801,G5300330005700,53033005700,0.0013858149,0,0,0,0,0,0,0
G5300330005801,53033005801,G5300330005801,53033005801,0.9986141851,1,1,1,1,1,1,1
G5300330005802,53033005802,G5300330005803,53033005803,0.2585491531,0.5429926863,0.5224012359,0.6950431034,0.5572854291,0.5546558704,0.6450704225,0.4923611111
G5300330005802,53033005802,G5300330005804,53033005804,0.7398661306,0.4570073137,0.4775987641,0.3049568966,0.4427145709,0.4453441296,0.3549295775,0.5076388889
G5300330005802,53033005802,G5300330006900,53033006900,0.0008661261,0,0,0,0,0,0,0
G5300330005802,53033005802,G5300330007001,53033007001,0.0007185902,0,0,0,0,0,0,0
G5300330005900,53033005900,G5300330005801,53033005801,0.0019814624,0,0,0,0,0,0,0
G5300330005900,53033005900,G5300330005804,53033005804,0.0004419248,0,0,0,0,0,0,0
G5300330005900,53033005900,G5300330005901,53033005901,0.43106222,0.4751316559,0.5099448437,0.2860738255,0.4049199531,0.4177029993,0.2772940388,0.5833333333
G5300330005900,53033005900,G5300330005902,53033005902,0.5665143927,0.5248683441,0.4900551563,0.7139261745,0.5950800469,0.5822970007,0.7227059612,0.4166666667
G5300330006000,53033006000,G5300330006000,53033006000,1,1,1,1,1,1,1,1
G5300330006100,53033006100,G5300330006100,53033006100,0.9936941135,1,1,1,1,1,1,1
G5300330006100,53033006100,G5300330006600,53033006600,0.0063058865,0,0,0,0,0,0,0
G5300330006200,53033006200,G5300330006200,53033006200,0.8934374432,0.9987006237,0.9993348853,0.9989929507,0.9993421053,0.9993738259,0.9991974318,1
G5300330006200,53033006200,G5300330006300,53033006300,0.1065625568,0.0012993763,0.0006651147,0.0010070493,0.0006578947,0.0006261741,0.0008025682,0
G5300330006300,53033006300,G5300330006300,53033006300,1,1,1,1,1,1,1,1
G5300330006400,53033006400,G5300330006400,53033006400,1,1,1,1,1,1,1,1
G5300330006500,53033006500,G5300330006500,53033006500,1,1,1,1,1,1,1,1
G5300330006600,53033006600,G5300330006600,53033006600,0.9997981547,1,1,1,1,1,1,1
G5300330006600,53033006600,G5300330007404,53033007404,0.0002018453,0,0,0,0,0,0,0
G5300330006700,53033006700,G5300330006000,53033006000,0.0015001662,0,0,0,0,0,0,0
G5300330006700,53033006700,G5300330006701,53033006701,0.2981950953,0.2871332518,0.2996886777,0.23828125,0.3198096669,0.3200640586,0.2395079595,0.3623132899
G5300330006700,53033006700,G5300330006702,53033006702,0.2320356464,0.2654339853,0.2685564476,0.2294921875,0.2764838467,0.2779684283,0.2547033285,0.2880122558
G5300330006700,53033006700,G5300330006703,53033006703,0.468269092,0.4474327628,0.4317548747,0.5322265625,0.4037064864,0.4019675132,0.505788712,0.3496744542
G5300330006800,53033006800,G5300330006800,53033006800,1,1,1,1,1,1,1,1
G5300330006900,53033006900,G5300330005804,53033005804,0.0004917553,0,0,0,0,0,0,0
G5300330006900,53033006900,G5300330006900,53033006900,0.9995082447,1,1,1,1,1,1,1
G5300330007000,53033007000,G5300330005804,53033005804,0.000045908,0.0000042079,0.0000043557,0.00000479,0.0000043675,0.0000043683,0.0000062593,0.0000037268
G5300330007000,53033007000,G5300330006702,53033006702,0.0109695406,0.0093404225,0.0087798971,0.0112866817,0.0073800738,0.0084522915,0.0040518639,0.008507135
G5300330007000,53033007000,G5300330007001,53033007001,0.4417842595,0.4831111822,0.4868257987,0.4356611243,0.5024556571,0.5018739187,0.5056663501,0.5013683917
G5300330007000,53033007000,G5300330007002,53033007002,0.5472002918,0.5075441874,0.5043899485,0.5530474041,0.4901599016,0.4896694215,0.4902755267,0.4901207464
G5300330007100,53033007100,G5300330005804,53033005804,0.0389922677,0,0,0,0,0,0,0
G5300330007100,53033007100,G5300330007101,53033007101,0.5742459639,0.4975450082,0.4998307953,0.4130434783,0.4680638723,0.4658740643,0.4339250493,0.4796259185
G5300330007100,53033007100,G5300330007102,53033007102,0.3867617684,0.5024549918,0.5001692047,0.5869565217,0.5319361277,0.5341259357,0.5660749507,0.5203740815
G5300330007200,53033007200,G5300330006702,53033006702,0.0000168272,0,0,0,0,0,0,0
G5300330007200,53033007200,G5300330007201,53033007201,0.14921204,0.5035727717,0.5058868944,0.4939271255,0.5553475936,0.5095146461,0.2756302521,0.6082670906
G5300330007200,53033007200,G5300330007202,53033007202,0.2770307255,0.287514103,0.2916425401,0.2307692308,0.2422459893,0.2828736369,0.3159663866,0.2282988871
G5300330007200,53033007200,G5300330007203,53033007203,0.5737404072,0.2089131252,0.2024705655,0.2753036437,0.2024064171,0.2076117169,0.4084033613,0.1634340223
G5300330007300,53033007300,G5300330006600,53033006600,0.0027838459,0,0,0,0,0,0,0
G5300330007300,53033007300,G5300330007202,53033007202,0.0001306615,0,0,0,0,0,0,0
G5300330007300,53033007300,G5300330007301,53033007301,0.2708116239,0.2975578406,0.3015943313,0.1920529801,0.3121330724,0.2716145833,0.0125786164,0.346797671
G5300330007300,53033007300,G5300330007302,53033007302,0.3379716367,0.4680805484,0.4705491585,0.4271523179,0.471950424,0.51484375,0.7798742138,0.4363173217
G5300330007300,53033007300,G5300330007303,53033007303,0.3385612333,0.234361611,0.2278565102,0.380794702,0.2159165036,0.2135416667,0.2075471698,0.2168850073
G5300330007300,53033007300,G5300330007404,53033007404,0.0207125479,0,0,0,0,0,0,0
G5300330007300,53033007300,G5300330007406,53033007406,0.0290284507,0,0,0,0,0,0,0
G5300330007401,53033007401,G5300330007403,53033007403,0.4570896529,0.4218712029,0.4234390486,0.3639143731,0.4285714286,0.4259723965,0.2827140549,0.4674709177
G5300330007401,53033007401,G5300330007404,53033007404,0.5178619621,0.5781287971,0.5765609514,0.6360856269,0.5714285714,0.5740276035,0.7172859451,0.5325290823
G5300330007401,53033007401,G5300330007406,53033007406,0.025048385,0,0,0,0,0,0,0
G5300330007402,53033007402,G5300330007405,53033007405,0.528843068,0.5210323105,0.5154185022,0.5241935484,0.4944379391,0.5016366612,0.4126126126,0.51031108
G5300330007402,53033007402,G5300330007406,53033007406,0.471156932,0.4789676895,0.4845814978,0.4758064516,0.5055620609,0.4983633388,0.5873873874,0.48968892
G5300330007500,53033007500,G5300330007501,53033007501,0.3721369213,0.5066857689,0.5092116183,0.4940978078,0.5315994166,0.5248447205,0.4646840149,0.5479286362
G5300330007500,53033007500,G5300330007502,53033007502,0.3941545099,0.3782234957,0.3809128631,0.3693086003,0.3534273213,0.3467169476,0.3767038414,0.3477472029
G5300330007500,53033007500,G5300330007503,53033007503,0.2337085689,0.1150907354,0.1098755187,0.1365935919,0.114973262,0.1284383319,0.1586121437,0.1043241609
G5300330007600,53033007600,G5300330007600,53033007600,1,1,1,1,1,1,1,1
G5300330007700,53033007700,G5300330007700,53033007700,1,1,1,1,1,1,1,1
G5300330007800,53033007800,G5300330006300,53033006300,0.0065232814,0.0054421769,0.0044521395,0.0051698671,0.0047573739,0.0044622936,0.0046893318,0.0050505051
G5300330007800,53033007800,G5300330007800,53033007800,0.9934767186,0.9945578231,0.9955478605,0.9948301329,0.9952426261,0.9955377064,0.9953106682,0.9949494949
G5300330007900,53033007900,G5300330007901,53033007901,0.3825920756,0.4967942491,0.5193781942,0.3806646526,0.5554787418,0.5565856777,0.4897959184,0.5798956852
G5300330007900,53033007900,G5300330007902,53033007902,0.6174079244,0.5032057509,0.4806218058,0.6193353474,0.4445212582,0.4434143223,0.5102040816,0.4201043148
G5300330008001,53033008001,G5300330005804,53033005804,0.0229729055,0,0,0,0,0,0,0
G5300330008001,53033008001,G5300330007102,53033007102,0.0049558405,0,0,0,0,0,0,0
G5300330008001,53033008001,G5300330008002,53033008002,0.0104865027,0,0,0,0,0,0,0
G5300330008001,53033008001,G5300330008003,53033008003,0.3934973305,0.5042949177,0.5073206442,0.4832474227,0.540086536,0.5493571584,0.5296995108,0.5460368295
G5300330008001,53033008001,G5300330008004,53033008004,0.5680874208,0.4957050823,0.4926793558,0.5167525773,0.459913464,0.4506428416,0.4703004892,0.4539631705
G5300330008002,53033008002,G5300330008002,53033008002,1,1,1,1,1,1,1,1
G5300330008100,53033008100,G5300330007202,53033007202,0.000711681,0,0,0,0,0,0,0
G5300330008100,53033008100,G5300330008101,53033008101,0.326628952,0.630958231,0.6301335349,0.7904761905,0.6961523205,0.7170967742,0.7327433628,0.6855828221
G5300330008100,53033008100,G5300330008102,53033008102,0.672659367,0.369041769,0.3698664651,0.2095238095,0.3038476795,0.2829032258,0.2672566372,0.3144171779
G5300330008200,53033008200,G5300330008200,53033008200,1,1,1,1,1,1,1,1
G5300330008300,53033008300,G5300330008300,53033008300,0.9926044786,1,1,1,1,1,1,1
G5300330008300,53033008300,G5300330008402,53033008402,0.0073955214,0,0,0,0,0,0,0
G5300330008400,53033008400,G5300330008300,53033008300,0.0059328103,0,0,0,0,0,0,0
G5300330008400,53033008400,G5300330008401,53033008401,0.6185229132,0.4768617021,0.4749229476,0.6530612245,0.4695234577,0.4742510939,0.4754521964,0.4685344828
G5300330008400,53033008400,G5300330008402,53033008402,0.3755442765,0.5231382979,0.5250770524,0.3469387755,0.5304765423,0.5257489061,0.5245478036,0.5314655172
G5300330008500,53033008500,G5300330008200,53033008200,0.0191390183,0,0,0,0,0,0,0
G5300330008500,53033008500,G5300330008401,53033008401,0.03007048,0,0,0,0,0,0,0
G5300330008500,53033008500,G5300330008500,53033008500,0.9507905018,1,1,1,1,1,1,1
G5300330008600,53033008600,G5300330007503,53033007503,0.000300746,0,0,0,0,0,0,0
G5300330008600,53033008600,G5300330008600,53033008600,0.999699254,1,1,1,1,1,1,1
G5300330008700,53033008700,G5300330008700,53033008700,1,1,1,1,1,1,1,1
G5300330008800,53033008800,G5300330008800,53033008800,1,1,1,1,1,1,1,1
G5300330008900,53033008900,G5300330008900,53033008900,1,1,1,1,1,1,1,1
G5300330009000,53033009000,G5300330009000,53033009000,1,1,1,1,1,1,1,1
G5300330009100,53033009100,G5300330009100,53033009100,0.9804001624,1,1,1,1,1,1,1
G5300330009100,53033009100,G5300330009200,53033009200,0.0195998376,0,0,0,0,0,0,0
G5300330009200,53033009200,G5300330009200,53033009200,1,1,1,1,1,1,1,1
G5300330009300,53033009300,G5300330009300,53033009300,1,1,1,1,1,1,1,1
G5300330009300,53033009300,G5300330009900,53033009900,0,0,0,0,0,0,0,0
G5300330009300,53033009300,G5300330010800,53033010800,0,0,0,0,0,0,0,0
G5300330009400,53033009400,G5300330009000,53033009000,0.0203932042,0.0242105263,0.019587414,0.0325342466,0.0224812656,0.0209033221,0.0294715447,0.0176304654
G5300330009400,53033009400,G5300330009300,53033009300,0.0010022785,0,0,0,0,0,0,0
G5300330009400,53033009400,G5300330009400,53033009400,0.9782011684,0.9757894737,0.980412586,0.9674657534,0.9775187344,0.9790966779,0.9705284553,0.9823695346
G5300330009400,53033009400,G5300330010002,53033010002,0.0004033489,0,0,0,0,0,0,0
G5300330009500,53033009500,G5300330009400,53033009400,0.0003076363,0,0,0,0,0,0,0
G5300330009500,53033009500,G5300330009500,53033009500,0.999600998,1,1,1,1,1,1,1
G5300330009500,53033009500,G5300330010102,53033010102,0.0000913657,0,0,0,0,0,0,0
G5300330009600,53033009600,G5300330009600,53033009600,0.999278461,0.9994871034,0.9995043186,0.9992259054,0.9995326085,0.9995472429,0.9992716018,0.9999146959
