tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G5300050010600,53005010600,G5300050010600,53005010600,0.9940414296,1,1,1,1,1,1,1
G5300050010701,53005010701,G5300050010701,53005010701,0.9751342394,0.9008419083,0.897627965,0.8971332209,0.9061696658,0.9090909091,0.8972099853,0.9690721649
G5300050010701,53005010701,G5300050010703,53005010703,0.0248657606,0.0991580917,0.102372035,0.1028667791,0.0938303342,0.0909090909,0.1027900147,0.0309278351
G5300050010703,53005010703,G5300050010201,53005010201,0.000031294,0,0,0,0,0,0,0
G5300050010703,53005010703,G5300050010701,53005010701,0.0033425354,0,0,0,0,0,0,0
G5300050010703,53005010703,G5300050010703,53005010703,0.9966261706,1,1,1,1,1,1,1
G5300050010705,53005010705,G5300050010705,53005010705,0.9947906296,1,1,1,1,1,1,1
G5300050010705,53005010705,G5300050010707,53005010707,0.0021739935,0,0,0,0,0,0,0
G5300050010705,53005010705,G5300050010818,53005010818,0.0030353769,0,0,0,0,0,0,0
G5300050010707,53005010707,G5300050010701,53005010701,0.1989319495,0.0008028904,0.0011883541,0.0014684288,0.0012106538,0.0011627907,0.0012771392,0
G5300050010707,53005010707,G5300050010705,53005010705,0.0027550718,0,0,0,0,0,0,0
G5300050010707,53005010707,G5300050010707,53005010707,0.7975077026,0.9984089257,0.9979902733,0.9977078388,0.9979161785,0.9979985622,0.997827328,0.9995340849
G5300050010707,53005010707,G5300050010708,53005010708,0.0008052762,0.0007881839,0.0008213726,0.0008237324,0.0008731677,0.0008386471,0.0008955328,0.0004659151
G5300050010708,53005010708,G5300050010300,53005010300,0,0,0,0,0,0,0,0
G5300050010708,53005010708,G5300050010701,53005010701,0.1917520659,0.0237704918,0.024049217,0.0174927114,0.0253303965,0.0284510011,0.0272108844,0.0173410405
G5300050010708,53005010708,G5300050010705,53005010705,0.0013106892,0,0,0,0,0,0,0
G5300050010708,53005010708,G5300050010708,53005010708,0.8069372449,0.9762295082,0.975950783,0.9825072886,0.9746696035,0.9715489989,0.9727891156,0.9826589595
